iter	Passed	Remaining
407	5062	7345
408	5074	7332
409	5085	7318
410	5096	7303
411	5107	7289
412	5119	7276
413	5129	7260
414	5140	7246
415	5152	7233
416	5163	7218
417	5173	7203
418	5185	7189
419	5195	7174
420	5206	7160
421	5217	7146
422	5228	7131
423	5238	7116
424	5248	7101
425	5259	7086
426	5270	7072
427	5281	7058
428	5292	7044
429	5303	7029
430	5314	7015
431	5328	7005
432	5339	6991
433	5350	6977
434	5360	6963
435	5370	6947
436	5382	6933
437	5392	6919
438	5403	6904
439	5413	6890
440	5424	6876
441	5434	6861
442	5446	6847
443	5456	6833
444	5467	6819
445	5478	6805
446	5489	6790
447	5500	6777
448	5511	6763
449	5522	6750
450	5533	6736
451	5544	6722
452	5557	6710
453	5567	6696
454	5578	6681
455	5589	6668
456	5600	6654
457	5611	6640
458	5623	6627
459	5634	6614
460	5645	6600
461	5656	6586
462	5666	6571
463	5677	6558
464	5687	6543
465	5697	6529
466	5708	6515
467	5719	6501
468	5729	6487
469	5739	6472
470	5751	6459
471	5761	6445
472	5772	6431
473	5783	6418
474	5794	6404
475	5806	6391
476	5816	6377
477	5828	6364
478	5839	6351
479	5850	6337
480	5862	6325
481	5874	6313
482	5886	6300
483	5896	6286
484	5907	6273
485	5918	6259
486	5928	6245
487	5939	6232
488	5949	6217
489	5961	6204
490	5972	6191
491	5983	6178
492	5993	6163
493	6005	6150
494	6015	6137
495	6027	6124
496	6039	6112
497	6051	6099
498	6061	6086
499	6072	6072
500	6085	6060
501	6097	6049
502	6110	6037
503	6121	6024
504	6133	6011
505	6144	5998
506	6156	5986
507	6166	5972
508	6179	5960
509	6191	5948
510	6202	5935
511	6214	5923
512	6227	5911
513	6238	5898
514	6250	5886
515	6260	5872
516	6272	5859
517	6283	5846
518	6295	5834
519	6306	5821
520	6318	5809
521	6330	5796
522	6340	5783
523	6352	5770
524	6364	5758
525	6376	5746
526	6387	5733
527	6400	5721
528	6412	5709
529	6423	5695
530	6433	5682
531	6444	5669
532	6457	5657
533	6468	5644
534	6480	5632
535	6492	5620
536	6502	5606
537	6514	5594
538	6525	5581
539	6537	5568
540	6549	5556
541	6560	5543
542	6571	5530
543	6582	5517
544	6594	5505
545	6606	5492
546	6617	5480
547	6627	5466
548	6640	5454
549	6651	5442
550	6663	5429
551	6674	5416
552	6686	5404
553	6697	5392
554	6709	5379
555	6723	5369
556	6734	5356
557	6745	5342
558	6756	5330
559	6767	5317
560	6779	5305
561	6791	5292
562	6803	5281
563	6815	5268
564	6826	5255
565	6837	5243
566	6848	5230
567	6860	5217
568	6871	5205
569	6883	5192
570	6894	5179
571	6907	5168
572	6918	5155
573	6930	5143
574	6941	5130
575	6952	5117
576	6964	5105
577	6975	5092
578	6986	5080
579	6998	5067
580	7009	5055
581	7021	5042
582	7032	5029
583	7043	5017
584	7054	5004
585	7065	4991
586	7076	4978
587	7088	4966
588	7100	4954
589	7110	4941
590	7121	4928
591	7132	4915
592	7143	4902
593	7155	4890
594	7165	4877
595	7177	4865
596	7189	4853
597	7201	4840
598	7213	4828
599	7224	4816
600	7236	4804
601	7248	4792
602	7260	4779
603	7272	4768
604	7284	4756
605	7296	4743
606	7307	4731
607	7318	4718
608	7329	4705
609	7339	4692
610	7350	4680
611	7361	4667
612	7372	4654
613	7383	4641
614	7394	4629
615	7409	4618
616	7423	4607
617	7436	4596
618	7447	4584
619	7458	4571
620	7470	4559
621	7482	4547
622	7495	4535
623	7507	4523
624	7518	4511
625	7529	4498
626	7541	4486
627	7552	4473
628	7567	4463
629	7582	4453
630	7598	4443
631	7614	4433
632	7632	4425
633	7648	4415
634	7661	4403
635	7676	4393
636	7690	4382
637	7703	4370
638	7716	4359
639	7728	4347
640	7741	4335
641	7754	4324
642	7767	4312
643	7781	4301
644	7793	4289
645	7807	4278
646	7820	4267
647	7833	4255
648	7846	4243
649	7859	4232
650	7872	4220
651	7885	4208
652	7898	4197
653	7912	4186
654	7925	4174
655	7938	4163
656	7949	4150
657	7961	4138
658	7973	4125
659	7984	4113
660	7995	4100
661	8007	4088
662	8018	4075
663	8030	4063
664	8041	4050
665	8052	4038
666	8063	4025
667	8074	4013
668	8086	4000
669	8097	3988
670	8109	3976
671	8122	3964
672	8133	3951
673	8148	3941
674	8160	3929
675	8171	3916
676	8183	3904
677	8195	3892
678	8207	3880
679	8219	3867
680	8230	3855
681	8241	3842
682	8252	3830
683	8263	3817
684	8275	3805
685	8286	3792
686	8296	3780
687	8308	3767
688	8319	3755
689	8330	3742
690	8342	3730
691	8354	3718
692	8365	3706
693	8376	3693
694	8388	3681
695	8399	3668
696	8410	3656
697	8421	3643
698	8434	3632
699	8448	3620
700	8461	3609
701	8474	3597
702	8488	3586
703	8502	3574
704	8517	3564
705	8532	3553
706	8547	3542
707	8561	3531
708	8575	3519
709	8587	3507
710	8600	3495
711	8612	3483
712	8625	3472
713	8638	3460
714	8652	3448
715	8665	3437
716	8678	3425
717	8692	3414
718	8708	3403
719	8724	3392
720	8738	3381
721	8751	3369
722	8764	3357
723	8778	3346
724	8791	3334
725	8806	3323
726	8821	3312
727	8835	3301
728	8847	3289
729	8864	3278
730	8881	3268
731	8899	3258
732	8916	3247
733	8936	3238
734	8953	3228
735	8968	3216
736	8983	3205
737	9000	3195
738	9019	3185
739	9038	3175
740	9056	3165
741	9074	3155
742	9093	3145
743	9108	3134
744	9122	3122
745	9135	3110
746	9150	3099
747	9164	3087
748	9178	3075
749	9193	3064
750	9207	3052
751	9221	3041
752	9236	3029
753	9249	3017
754	9262	3005
755	9276	2994
756	9290	2982
757	9304	2970
758	9318	2958
759	9332	2947
760	9345	2935
761	9361	2923
762	9375	2912
763	9390	2900
764	9403	2888
765	9418	2877
766	9431	2865
767	9446	2853
768	9459	2841
769	9471	2829
770	9484	2816
771	9496	2804
772	9510	2792
773	9523	2780
774	9536	2768
775	9549	2756
776	9562	2744
777	9574	2732
778	9586	2719
779	9600	2707
780	9611	2695
781	9625	2683
782	9637	2670
783	9650	2658
784	9663	2646
785	9675	2634
786	9688	2622
787	9701	2609
788	9712	2597
789	9724	2585
790	9736	2572
791	9747	2560
792	9758	2547
793	9768	2534
794	9780	2521
795	9792	2509
796	9805	2497
797	9817	2485
798	9830	2472
