iter	Logloss
0	0.6801189448
1	0.667782072
2	0.6601259379
3	0.652848262
4	0.6459755214
5	0.6392087765
6	0.6332879526
7	0.6261126695
8	0.6193127356
9	0.6134644679
10	0.608196887
11	0.6047590656
12	0.6022996239
13	0.5995287714
14	0.597318965
15	0.5937014562
16	0.5913683115
17	0.5884525278
18	0.5867458885
19	0.5854441944
20	0.5840204831
21	0.5820025621
22	0.5809246159
23	0.5799431525
24	0.5790756231
25	0.5782764049
26	0.576890183
27	0.5755934901
28	0.5747420594
29	0.573924337
30	0.5733196184
31	0.5723667658
32	0.5714954132
33	0.5709650255
34	0.5701472424
35	0.5696496046
36	0.5691698687
37	0.5683914796
38	0.5675993442
39	0.5672672645
40	0.5666831539
41	0.566201249
42	0.5655470435
43	0.5650865006
44	0.5647717058
45	0.5642836662
46	0.5640244979
47	0.5637590091
48	0.5633944797
49	0.5631371911
50	0.5627242887
51	0.5624613041
52	0.5619737678
53	0.5616215697
54	0.5613082331
55	0.5610483491
56	0.5605670287
57	0.5602329639
58	0.5600144766
59	0.5596314039
60	0.5594692376
61	0.559259914
62	0.5591242521
63	0.5588235139
64	0.5584759067
65	0.5582489802
66	0.5579687767
67	0.5577222831
68	0.5575301028
69	0.5572364774
70	0.5568867925
71	0.5567532674
72	0.5564836517
73	0.5563106197
74	0.5561234189
75	0.5559212368
76	0.5557922367
77	0.5556222795
78	0.5554671936
79	0.5553077234
80	0.555132727
81	0.5549351562
82	0.554782087
83	0.5546460891
84	0.5544291519
85	0.554283346
86	0.5541426078
87	0.5539805734
88	0.5537853136
89	0.5536117928
90	0.553483543
91	0.5533339946
92	0.5531764302
93	0.5530180242
94	0.5528529439
95	0.5527022092
96	0.5525407417
97	0.5523941684
98	0.5522643827
99	0.5521614424
100	0.5519487729
101	0.5518127268
102	0.5516516029
103	0.5514323712
104	0.5512636687
105	0.5511476571
106	0.5510070153
107	0.5508610559
108	0.5505590017
109	0.5503870614
110	0.5502315959
111	0.5500915828
112	0.549962037
113	0.5498495703
114	0.5496978105
115	0.5495678239
116	0.5493894969
117	0.5491979116
118	0.549065059
119	0.5489265756
120	0.5487840691
121	0.5486457716
122	0.5485398804
123	0.5483899905
124	0.548294534
125	0.5481443308
126	0.5480132829
127	0.5478588738
128	0.5476661184
129	0.5475190616
130	0.5473722705
131	0.5471772326
132	0.5470790505
133	0.5469246558
134	0.5467798309
135	0.5466547775
136	0.5465206044
137	0.5463958837
138	0.5462455136
139	0.546093305
140	0.5459838289
141	0.5458408865
142	0.5457207995
143	0.5456077222
144	0.5454793946
145	0.5453388153
146	0.5452400121
147	0.5451207309
148	0.5449946559
149	0.5448838471
150	0.544776869
151	0.5446724065
152	0.5445638603
153	0.5443554203
154	0.5442102944
155	0.5440757049
156	0.5439778022
157	0.54385209
158	0.5437692386
159	0.543645905
160	0.5435517368
161	0.5434262046
162	0.5433394634
163	0.543223025
164	0.5430732346
165	0.5429348707
166	0.5428332525
167	0.5426433919
168	0.5425054595
169	0.5423589421
170	0.5422574033
171	0.5420855884
172	0.5419311016
173	0.5417368938
174	0.54159821
175	0.5414875443
176	0.5413567722
177	0.5412503801
178	0.541129061
179	0.5410293579
180	0.5408959974
181	0.5407897505
182	0.5406825856
183	0.540526346
184	0.5403979876
185	0.540311858
186	0.5401863582
187	0.5400135242
188	0.5398173743
189	0.5396924768
190	0.5395976642
191	0.539487216
192	0.5393214231
193	0.5392175962
194	0.5390752735
195	0.5389928018
196	0.5388466959
197	0.5386990629
198	0.5386064675
199	0.5384813175
200	0.5383433975
201	0.5382701785
202	0.5381136813
203	0.5379736624
204	0.5378353452
205	0.5377255345
206	0.5375888708
207	0.5374569223
208	0.5372780802
209	0.5371587742
210	0.5370272778
211	0.5369391029
212	0.5368229648
213	0.5367031201
214	0.5365549973
215	0.5364098519
216	0.5362698217
217	0.5361626477
218	0.5360274445
219	0.5359380074
220	0.5358073085
221	0.535677002
222	0.5355276519
223	0.5354041931
224	0.535165672
225	0.5350417451
226	0.5348441528
227	0.534717513
228	0.5345829221
229	0.5344373513
230	0.5343111979
231	0.5341577561
232	0.5340288757
233	0.5339203122
234	0.5338032685
235	0.5336420077
236	0.5334987366
237	0.5333655678
238	0.5332536412
239	0.5331054063
240	0.5329473217
241	0.5328071487
242	0.5326399017
243	0.5324740778
244	0.5323691057
245	0.5321269323
246	0.531976467
247	0.5318368802
248	0.5316642148
249	0.531537386
250	0.5313626622
251	0.5312461267
252	0.5311155278
253	0.53099865
